03 06 98,09 27 08.000169499,32.70439534,-117.2094523,81,344,104.14,2.2928,268.14,-0.52,0
03 06 98,09 27 09.000182787,32.70434506,-117.2094446,84,346.2,102.02,2.2931,268.22,-0.52,0
03 06 98,09 27 10.000196071,32.70429395,-117.2094351,85,346.6,101.69,2.2934,268.29,-0.52,0
03 06 98,09 27 11.000209358,32.70424479,-117.2094226,81,346.1,102.27,2.294,268.37,-0.52,0
03 06 98,09 27 12.000222646,32.7041959,-117.2094098,78,345.9,102.54,2.2945,268.44,-0.52,0
03 06 98,09 27 13.000235930,32.70414673,-117.2094032,80,348.5,100.01,2.2948,268.51,-0.52,0
03 06 98,09 27 14.000249218,32.70409784,-117.209399,80,349.7,98.89,2.2949,268.59,-0.52,0
03 06 98,09 27 15.000262509,32.7040509,-117.2093873,78,347.7,100.96,2.2955,268.66,-0.52,0
03 06 98,09 27 16.000275795,32.70400118,-117.2093684,77,344.8,103.93,2.2963,268.73,-0.52,0
03 06 98,09 27 17.000289085,32.70394395,-117.2093609,76,349.1,99.72,2.2966,268.82,-0.52,0
03 06 98,09 27 18.000302378,32.70388923,-117.2093582,72,350.7,98.2,2.2967,268.9,-0.52,0
03 06 98,09 27 19.000315665,32.70384256,-117.2093498,71,349.5,99.47,2.2971,268.97,-0.52,0
03 06 98,09 27 20.000328954,32.7037934,-117.2093443,71,350.9,98.14,2.2973,269.04,-0.52,0
03 06 98,09 27 21.000342236,32.70374284,-117.2093343,67,349.5,99.62,2.2978,269.12,-0.52,0
03 06 98,09 27 22.000355527,32.70369701,-117.2093184,66,346.5,102.69,2.2985,269.19,-0.52,0
03 06 98,09 27 23.000368811,32.70365256,-117.2093115,69,349,100.25,2.2988,269.25,-0.52,0
03 06 98,09 27 24.000382093,32.70360256,-117.2093082,73,350.9,98.43,2.299,269.33,-0.52,0
03 06 98,09 27 25.000395381,32.70355145,-117.2092993,73,349.6,99.8,2.2994,269.4,-0.52,0
03 06 98,09 27 26.000408667,32.70350423,-117.2092832,74,346.6,102.87,2.3002,269.47,-0.52,0
03 06 98,09 27 27.000421955,32.70345618,-117.2092668,73,345.5,104.05,2.301,269.55,-0.52,0
03 06 98,09 27 28.000435250,32.70340729,-117.2092518,77,344.9,104.72,2.3017,269.62,-0.52,0
03 06 98,09 27 29.000448539,32.70335423,-117.2092421,80,347.1,102.6,2.3022,269.7,-0.52,0
03 06 98,09 27 30.000461831,32.7033009,-117.2092309,84,346.9,102.88,2.3027,269.78,-0.52,0
03 06 98,09 27 31.000475114,32.70325062,-117.2092201,84,347.3,102.55,2.3033,269.85,-0.52,0
03 06 98,09 27 32.000488407,32.70320645,-117.2091932,91,339.5,110.42,2.3046,269.92,-0.51,0
03 06 98,09 27 33.000501695,32.70315895,-117.2091723,91,341.1,108.89,2.3057,269.99,-0.51,0
03 06 98,09 27 34.000514985,32.70311062,-117.209159,92,341.9,108.16,2.3063,270.06,-0.51,0
03 06 98,09 27 35.000528273,32.70306368,-117.2091546,93,346.2,103.93,2.3066,270.13,-0.51,0
03 06 98,09 27 36.000541565,32.70301479,-117.2091418,89,344.4,105.8,2.3072,270.2,-0.51,0
03 06 98,09 27 37.000554855,32.70296951,-117.2091207,88,341.5,108.77,2.3083,270.27,-0.51,0
03 06 98,09 27 38.000568144,32.70292284,-117.2091059,92,342.8,107.54,2.3091,270.34,-0.51,0
03 06 98,09 27 39.000581426,32.70287284,-117.2091018,90,347.2,103.21,2.3093,270.41,-0.51,0
03 06 98,09 27 40.000594712,32.70282312,-117.2090918,87,346,104.49,2.3098,270.49,-0.51,0
03 06 98,09 27 41.000608001,32.70277479,-117.2090765,85,344.3,106.26,2.3106,270.56,-0.51,0
03 06 98,09 27 42.000621291,32.70272701,-117.2090659,84,345.6,105.03,2.3112,270.63,-0.51,0
03 06 98,09 27 43.000634587,32.70268451,-117.2090518,86,343.5,107.19,2.3119,270.69,-0.51,0
