32.77126701	-117.2635896	14	269.2	84.54	4.1191	173.74	-0.31
32.77126201	-117.263534	17	270.7	83.08	4.1185	173.78	-0.31
32.77125979	-117.2634687	24	269.7	84.12	4.118	173.82	-0.31
32.77126034	-117.2634107	23	268.5	85.36	4.1178	173.86	-0.31
32.77125812	-117.2633529	32	269.6	84.3	4.1173	173.9	-0.31
32.77125368	-117.2632854	37	270.3	83.65	4.1167	173.95	-0.31
32.77124645	-117.2632251	43	272.3	81.69	4.1159	173.99	-0.31
32.77124534	-117.2631626	53	269.7	84.34	4.1155	174.04	-0.31
32.77124562	-117.2630954	60	269.4	84.68	4.1152	174.08	-0.31
32.77123868	-117.2630323	64	271.6	82.53	4.1145	174.13	-0.31
32.77123868	-117.2630323	64	271.6	82.53	4.1145	174.13	-0.31
32.77125284	-117.2626604	75	264.6	89.79	4.1134	174.39	-0.31
32.77125284	-117.2626604	75	264.6	89.79	4.1134	174.39	-0.31
32.77125284	-117.2626609	76	264.6	89.79	4.1134	174.39	-0.31
32.77125229	-117.2626621	77	264.6	89.79	4.1134	174.39	-0.31
32.77125229	-117.2626623	78	264.6	89.79	4.1134	174.39	-0.31
32.7712734	-117.1850373	74	1645.3	360	5.4051	220.9	-0.26
32.77128229	-117.2622215	74	266	88.7	4.1131	174.7	-0.31
32.77128006	-117.2620996	82	269.1	85.69	4.1124	174.79	-0.31
32.77128006	-117.2621004	84	269.1	85.69	4.1124	174.79	-0.31
32.77128395	-117.2619793	80	267	87.87	4.1121	174.87	-0.31
32.77130645	-117.2617807	83	263.1	91.92	4.1126	175.02	-0.31
32.77130562	-117.2617823	85	263.1	91.92	4.1125	175.02	-0.31
32.77130479	-117.2617834	88	263.1	91.91	4.1125	175.01	-0.31
32.77130618	-117.2615168	89	268.3	86.9	4.1114	175.2	-0.31
32.77130701	-117.2614562	89	267.5	87.75	4.1112	175.25	-0.31
32.77130923	-117.2613932	86	267.3	87.99	4.1111	175.29	-0.31
32.77130868	-117.2613309	85	268.2	87.13	4.1108	175.33	-0.31
32.7713109	-117.2612762	87	267.2	88.17	4.1107	175.37	-0.31
32.77131673	-117.2612107	87	265.4	90.02	4.1108	175.42	-0.31
32.77132229	-117.261144	88	265	90.47	4.1109	175.47	-0.31
32.77132618	-117.2610976	87	264.4	91.1	4.1109	175.5	-0.31
32.77133034	-117.2610359	86	264.4	91.14	4.1109	175.54	-0.31
