Pedestal Latitude (deg):  ,32.70326358,,,,,,,,,,,,
Pedestal Longitude (deg): ,-117.2549643,,,,,,,,,,,,
Pedestal Height (m):      ,121.1730672,,,,,,,,,,,,
Date(mm dd yy),Time(hh mm ss.fsec,Latitude(deg),Longitude(deg),GPSAlt(m),GPSHdg(deg),Tgt Aspect(deg),Range(NMi),Azimuth(deg),Elevation(deg),Tgt Command Alt(m),,,
03 06 98,08 55 25.000889535,32.77125118,-117.2657646,-58,268.1,84.11,4.1316,172.21,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 26.000902822,32.77125368,-117.2657048,-59,268.4,83.85,4.1313,172.25,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 27.000916110,32.77125756,-117.2656476,-60,267.6,84.69,4.1312,172.29,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 28.000929399,32.77126062,-117.265589,-60,267.8,84.54,4.1309,172.34,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 29.000942695,32.7712584,-117.2655304,-59,270.5,81.88,4.1304,172.38,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 30.000955981,32.77125368,-117.2654684,-58,271.8,80.62,4.1297,172.42,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 31.000969268,32.77125479,-117.2654104,-58,270.3,82.16,4.1294,172.46,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 32.000982558,32.7712559,-117.2653482,-59,270.5,82,4.1291,172.5,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 33.000995855,32.77125951,-117.2652882,-59,268.6,83.95,4.1289,172.55,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 34.000009139,32.77126562,-117.2652323,-56,266.9,85.69,4.1289,172.59,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 35.000022411,32.77126784,-117.2651723,-52,268,84.63,4.1286,172.63,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 36.000035700,32.77126506,-117.2651118,-53,269.8,82.87,4.1281,172.67,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 37.000048988,32.77126729,-117.2650507,-53,268.7,84.01,4.1278,172.71,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 38.000062278,32.77127173,-117.2649846,-51,267.4,85.36,4.1277,172.76,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 39.000075570,32.7712759,-117.2649193,-50,267.5,85.31,4.1275,172.81,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 40.000088869,32.77127729,-117.2648629,-50,267.5,85.35,4.1272,172.85,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 41.000102153,32.77127923,-117.264804,-52,267.6,85.29,4.127,172.89,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 42.000115441,32.77128062,-117.2646915,-50,269.2,83.77,4.1264,172.97,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 44.000142019,32.77128062,-117.2646921,-50,269.2,83.77,4.1264,172.97,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 45.000155311,32.77128284,-117.2645146,-46,270.7,82.39,4.1254,173.09,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 47.000181890,32.77128062,-117.2644554,-48,270.2,82.93,4.1249,173.13,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 48.000195179,32.7712809,-117.2643951,-46,268.9,84.27,4.1246,173.17,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 49.000208464,32.77127951,-117.2643346,-36,269.2,84.02,4.1241,173.22,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 50.000221758,32.77127701,-117.2642707,-31,269.3,83.96,4.1236,173.26,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 51.000235043,32.77127645,-117.2642068,-27,268.7,84.61,4.1232,173.31,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 52.000248332,32.77127729,-117.2641448,-22,267.9,85.45,4.1229,173.35,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 53.000261617,32.77127479,-117.2640846,-16,268.7,84.69,4.1224,173.39,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 54.000274899,32.7712759,-117.2640179,-16,267.3,86.14,4.1221,173.44,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 55.000288190,32.77127118,-117.2638248,-4,267.5,86.07,4.1207,173.57,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 58.000328055,32.77127479,-117.263764,2,266,87.62,4.1206,173.62,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 55 59.000341345,32.77127479,-117.2637079,8,266.9,86.76,4.1202,173.66,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 00.000354632,32.77126951,-117.2636459,12,269.2,84.5,4.1196,173.7,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 01.000367930,32.77126701,-117.2635896,14,269.2,84.54,4.1191,173.74,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 02.000381219,32.77126201,-117.263534,17,270.7,83.08,4.1185,173.78,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 03.000394509,32.77125979,-117.2634687,24,269.7,84.12,4.118,173.82,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 04.000407805,32.77126034,-117.2634107,23,268.5,85.36,4.1178,173.86,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 05.000421093,32.77125812,-117.2633529,32,269.6,84.3,4.1173,173.9,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 06.000434386,32.77125368,-117.2632854,37,270.3,83.65,4.1167,173.95,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 07.000447672,32.77124645,-117.2632251,43,272.3,81.69,4.1159,173.99,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 08.000460961,32.77124534,-117.2631626,53,269.7,84.34,4.1155,174.04,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 09.000474247,32.77124562,-117.2630954,60,269.4,84.68,4.1152,174.08,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 10.000487540,32.77123868,-117.2630323,64,271.6,82.53,4.1145,174.13,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 11.000500836,4.82196562,-169.3925882,22016850,3.5,210.85,2557.3375,34.35,-21.8,0,,-0.067907593,0.013370556
03 06 98,08 56 14.000540705,4.821964787,-169.3925896,22016854,3.5,210.85,2557.3376,34.35,-21.8,0,,-0.067907593,0.013370556
03 06 98,08 56 16.000567283,32.77125284,-117.2626604,75,264.6,89.79,4.1134,174.39,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 17.000580576,32.77125284,-117.2626609,76,264.6,89.79,4.1134,174.39,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 18.000593865,32.77125229,-117.2626621,77,264.6,89.79,4.1134,174.39,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 19.000607156,32.77125229,-117.2626623,78,264.6,89.79,4.1134,174.39,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 21.000633738,32.7712734,-117.1850373,74,1645.3,360,5.4051,220.9,-0.26,0,,-0.067907593,0.013370556
03 06 98,08 56 22.000647029,32.77128229,-117.2622215,74,266,88.7,4.1131,174.7,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 25.000686891,32.77128006,-117.2620996,82,269.1,85.69,4.1124,174.79,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 26.000700187,32.77128006,-117.2621004,84,269.1,85.69,4.1124,174.79,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 28.000726781,32.77128395,-117.2619793,80,267,87.87,4.1121,174.87,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 29.000740070,32.77130645,-117.2617807,83,263.1,91.92,4.1126,175.02,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 31.000766651,32.77130562,-117.2617823,85,263.1,91.92,4.1125,175.02,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 33.000793227,32.77130479,-117.2617834,88,263.1,91.91,4.1125,175.01,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 34.000806513,32.77130618,-117.2615168,89,268.3,86.9,4.1114,175.2,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 35.000819802,32.77130701,-117.2614562,89,267.5,87.75,4.1112,175.25,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 36.000833092,32.77130923,-117.2613932,86,267.3,87.99,4.1111,175.29,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 37.000846379,32.77130868,-117.2613309,85,268.2,87.13,4.1108,175.33,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 38.000859671,32.7713109,-117.2612762,87,267.2,88.17,4.1107,175.37,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 39.000872963,32.77131673,-117.2612107,87,265.4,90.02,4.1108,175.42,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 40.000886263,32.77132229,-117.261144,88,265,90.47,4.1109,175.47,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 41.000899555,32.77132618,-117.2610976,87,264.4,91.1,4.1109,175.5,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 42.000912853,32.77133034,-117.2610359,86,264.4,91.14,4.1109,175.54,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 43.000926144,32.77133784,-117.2609698,84,262.9,92.69,4.1111,175.59,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 44.000939433,32.77133951,-117.2609171,86,264.5,91.13,4.111,175.63,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 45.000952725,32.77134034,-117.2608587,92,265.3,90.37,4.1108,175.67,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 46.000966014,32.77135534,-117.2607907,90,259.6,96.12,4.1115,175.72,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 47.000979304,32.7713684,-117.2607304,90,259.2,96.56,4.112,175.76,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 48.000992593,32.77137062,-117.2606687,91,262.4,93.41,4.1119,175.81,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 49.000005882,32.77136673,-117.2606073,88,265.9,89.95,4.1115,175.85,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 50.000019162,32.77136812,-117.2605512,90,265.4,90.49,4.1113,175.89,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 51.000032453,32.77137229,-117.2604921,91,264.6,91.33,4.1114,175.93,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 52.000045745,32.77137506,-117.2601929,95,268.2,87.94,4.1105,176.14,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 57.000112222,32.77137173,-117.2601368,102,268,88.18,4.1101,176.18,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 58.000125516,32.77137645,-117.2600643,104,265.9,90.33,4.1102,176.23,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 56 59.000138811,32.77138562,-117.2600001,104,263.7,92.58,4.1105,176.28,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 00.000152110,32.77139256,-117.2599401,108,263.1,93.22,4.1107,176.32,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 01.000165407,32.77139145,-117.2598773,106,266,90.37,4.1105,176.37,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 02.000178696,32.77138062,-117.2598265,103,271.1,85.3,4.1096,176.4,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 03.000191985,32.77138145,-117.2597693,110,267.4,89.04,4.1095,176.44,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 04.000205269,32.77139118,-117.2595632,113,267,89.59,4.1095,176.59,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 07.000245138,32.77138645,-117.2594951,122,268.4,88.24,4.109,176.64,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 08.000258424,32.77137784,-117.2594348,124,272,84.68,4.1083,176.68,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 09.000271724,32.77137562,-117.2593715,122,270.3,86.42,4.108,176.72,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 10.000285015,32.77137451,-117.2593109,123,270.2,86.57,4.1077,176.77,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 11.000298311,32.7713709,-117.2592521,114,271.3,85.51,4.1074,176.81,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 12.000311603,32.77137395,-117.2591884,109,267.8,89.05,4.1074,176.85,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 13.000324900,32.77137645,-117.2591273,111,267.8,89.1,4.1073,176.9,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 14.000338198,32.77137868,-117.2590643,113,266.7,90.24,4.1073,176.94,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 15.000351490,32.7713859,-117.2589959,116,264.5,92.49,4.1076,176.99,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 16.000364784,32.77138756,-117.2589315,117,266,91.04,4.1075,177.04,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 17.000378084,32.77138729,-117.2588673,115,266.3,90.78,4.1073,177.08,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 18.000391370,32.77138618,-117.2588015,114,267.1,90.03,4.1071,177.13,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 19.000404666,32.77138229,-117.2587343,114,269,88.18,4.1067,177.18,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 20.000417957,32.77138312,-117.2586762,117,267.4,89.82,4.1066,177.22,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 21.000431245,32.77139034,-117.2586126,115,264.4,92.86,4.1069,177.26,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 22.000444537,32.77139618,-117.2585484,113,264.2,93.11,4.1071,177.31,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 23.000457829,32.77139618,-117.258489,120,265.4,91.95,4.1069,177.35,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 24.000471114,32.77139784,-117.2584287,125,265.2,92.19,4.1069,177.39,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 25.000484403,32.77139229,-117.2583629,128,269.1,88.34,4.1064,177.44,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 26.000497693,32.77138034,-117.2583109,130,272.9,84.58,4.1056,177.48,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 27.000510984,32.77138284,-117.2582496,131,268.2,89.32,4.1056,177.52,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 28.000524275,32.7713859,-117.2581848,134,267.5,90.07,4.1056,177.57,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 29.000537564,32.77138923,-117.2581259,130,266.2,91.41,4.1057,177.61,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 30.000550856,32.77139479,-117.2580662,126,264.4,93.25,4.1059,177.65,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 31.000564141,32.7713984,-117.2580057,119,264.5,93.19,4.106,177.69,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 32.000577422,32.77139812,-117.2579432,118,266.2,91.54,4.1059,177.74,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 33.000590708,32.77139756,-117.2578796,122,266.3,91.48,4.1057,177.78,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 34.000603992,32.77139951,-117.2578212,126,265.8,92.02,4.1057,177.82,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 35.000617272,32.77139979,-117.2577559,126,266.6,91.27,4.1056,177.87,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 36.000630561,32.77139868,-117.2576976,127,267.3,90.61,4.1054,177.91,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 37.000643841,32.7713984,-117.2576423,128,267,90.95,4.1053,177.95,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 38.000657128,32.77139395,-117.2575832,123,269.6,88.39,4.1049,177.99,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 39.000670414,32.77138756,-117.2575315,126,271.2,86.83,4.1045,178.03,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 40.000683698,32.77138729,-117.2574712,127,269,89.07,4.1043,178.07,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 41.000696988,32.77139284,-117.2574182,122,265.8,92.31,4.1046,178.11,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 42.000710272,32.7713959,-117.2573657,123,265.9,92.25,4.1047,178.15,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 43.000723558,32.77140118,-117.2573015,120,263.9,94.29,4.1049,178.19,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 44.000736845,32.77139923,-117.2572396,124,267,91.24,4.1047,178.24,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 45.000750134,32.7713984,-117.2571829,131,266.4,91.88,4.1045,178.28,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 46.000763425,32.77139673,-117.2571184,133,268,90.32,4.1043,178.32,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 47.000776714,32.77139451,-117.2570573,133,268.5,89.87,4.1041,178.37,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 48.000790000,32.77140006,-117.2570012,138,264.8,93.61,4.1044,178.41,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 49.000803288,32.77140173,-117.2569418,137,266.4,92.05,4.1044,178.45,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 50.000816574,32.77140645,-117.2568809,130,263.9,94.59,4.1046,178.49,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 51.000829864,32.77141006,-117.2568226,121,264.3,94.23,4.1047,178.53,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 52.000843150,32.77141173,-117.2567609,118,264.4,94.18,4.1048,178.58,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 53.000856440,32.7714109,-117.2567009,113,266,92.62,4.1046,178.62,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 54.000869721,32.77140979,-117.2566487,117,266.3,92.36,4.1045,178.66,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 55.000883012,32.77141145,-117.2565943,118,265.5,93.19,4.1045,178.69,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 56.000896295,32.77140923,-117.256534,119,267.8,90.94,4.1043,178.74,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 57.000909583,32.77140062,-117.2564812,121,271.1,87.67,4.1038,178.77,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 58.000922869,32.7713934,-117.256429,120,272.1,86.71,4.1033,178.81,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 57 59.000936159,32.77139006,-117.2563715,112,271.4,87.45,4.103,178.85,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 00.000949443,32.77139145,-117.2563154,109,269,89.89,4.103,178.89,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 01.000962731,32.77139034,-117.2562576,110,269.5,89.43,4.1029,178.93,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 02.000976021,32.77138812,-117.2561998,111,269.2,89.77,4.1027,178.97,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 03.000989305,32.77139312,-117.256144,118,265.7,93.31,4.103,179.01,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 04.000002593,32.77139812,-117.2560779,114,265.1,93.96,4.1032,179.06,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 05.000015865,32.77139562,-117.2560221,109,267.3,91.8,4.103,179.1,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 06.000029152,32.77139256,-117.2559737,111,268.1,91.04,4.1028,179.14,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 07.000042438,32.77139451,-117.2559143,109,266.3,92.88,4.1029,179.18,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 08.000055722,32.77140729,-117.2558484,105,261,98.22,4.1036,179.22,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 09.000069014,32.77141451,-117.2557957,112,261.2,98.06,4.104,179.26,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 10.000082300,32.77141506,-117.2557393,115,263.2,96.1,4.104,179.3,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 11.000095584,32.77141618,-117.2556843,109,263.6,95.74,4.104,179.34,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 12.000108875,32.77141006,-117.255634,108,267.9,91.48,4.1036,179.38,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 13.000122164,32.77140701,-117.2555787,103,267.3,92.12,4.1034,179.42,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 14.000135455,32.77140979,-117.2555084,104,266.4,93.07,4.1036,179.47,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 15.000148741,32.77141118,-117.2554473,103,266.2,93.31,4.1036,179.51,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 16.000162019,32.7714109,-117.2553923,101,266.9,92.65,4.1036,179.55,-0.31,0,,-0.067907593,0.013370556
03 06 98,08 58 17.000175307,32.77141062,-117.2553284,99,266.8,92.79,4.1035,179.59,-0.31,0,,-0.067907593,0.013370556
