Pedestal Latitude (deg):  ,32.70326358,,,,,,,,,,,,
Pedestal Longitude (deg): ,-117.2549643,,,,,,,,,,,,
Pedestal Height (m):      ,121.1730672,,,,,,,,,,,,
Date(mm dd yy),Time(hh mm ss.fsec,Latitude(deg),Longitude(deg),GPSAlt(m),GPSHdg(deg),Tgt Aspect(deg),Range(NMi),Azimuth(deg),Elevation(deg),Tgt Command Alt(m),,,
03 06 98,09 06 49.000977328,32.76183979,-117.233564,-48,342.6,34.39,3.6875,196.99,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 50.000990621,32.7618384,-117.2335359,-88,321.1,55.91,3.6878,197.01,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 51.000003902,32.76186979,-117.2334926,-149,259,118.03,3.6903,197.03,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 52.000017176,32.76187145,-117.2334604,-189,259,118.06,3.6908,197.06,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 53.000030461,32.76187118,-117.2334279,-225,259,118.08,3.6913,197.08,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 54.000043747,32.76180145,-117.2334204,-210,299.1,78.01,3.6874,197.11,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 55.000057037,32.76175312,-117.2334026,-197,313.6,63.53,3.6849,197.13,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 56.000070320,32.76171034,-117.2333951,-188,328.7,48.45,3.6825,197.15,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 57.000083607,32.76165756,-117.2333807,-180,334.3,42.87,3.6797,197.17,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 58.000096884,32.76160451,-117.2333515,-175,332.1,45.11,3.6771,197.21,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 06 59.000110169,32.76156256,-117.2333204,-174,325.2,52.05,3.6752,197.25,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 00.000123452,32.76151368,-117.2333068,-171,332.6,44.67,3.6726,197.27,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 01.000136741,32.7614634,-117.2332904,-167,331.3,46,3.6699,197.3,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 02.000150025,32.76142673,-117.2332601,-161,327,50.33,3.6683,197.33,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 03.000163304,32.76138395,-117.2332398,-160,332.4,44.96,3.6661,197.36,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 04.000176588,32.76133284,-117.2332254,-156,336.3,41.08,3.6634,197.38,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 05.000189870,32.76128256,-117.2332062,-156,336.8,40.61,3.6608,197.41,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 06.000203154,32.76124062,-117.2331773,-147,331.8,45.65,3.6588,197.45,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 07.000216436,32.76119756,-117.2331484,-142,331.4,46.08,3.6568,197.48,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 08.000229718,32.76115729,-117.2331176,-137,327.9,49.61,3.655,197.51,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 09.000242997,32.76111368,-117.2330984,-137,332.9,44.64,3.6528,197.54,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 10.000256276,32.76106423,-117.2330801,-140,334.7,42.87,3.6502,197.57,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 11.000269561,32.76101395,-117.2330501,-141,332.2,45.41,3.6478,197.61,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 12.000282843,32.76096479,-117.2330276,-134,334.7,42.94,3.6453,197.64,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 13.000296134,32.7609159,-117.2330126,-130,338.1,39.56,3.6427,197.66,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 14.000309419,32.76086756,-117.2329951,-131,338,39.69,3.6402,197.69,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 15.000322707,32.76081895,-117.2329737,-129,337.6,40.12,3.6378,197.72,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 16.000335992,32.76076645,-117.2329568,-129,340.4,37.35,3.635,197.75,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 17.000349279,32.76071868,-117.232934,-125,337.5,40.28,3.6326,197.78,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 18.000362565,32.76067201,-117.2329143,-117,338.7,39.11,3.6303,197.81,-0.34,0,,-0.067907593,0.013370556
03 06 98,09 07 19.000375856,32.76062256,-117.2328937,-113,338.2,39.64,3.6277,197.84,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 20.000389142,32.76057923,-117.2328715,-108,336.4,41.47,3.6256,197.87,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 21.000402425,32.76053256,-117.2328479,-106,336.1,41.8,3.6233,197.9,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 22.000415710,32.76048562,-117.2328282,-108,337.2,40.73,3.6209,197.93,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 23.000428992,32.76043951,-117.2328168,-106,340.9,37.05,3.6185,197.95,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 24.000442276,32.76038979,-117.2327987,-105,339.7,38.28,3.6159,197.98,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 25.000455556,32.76034812,-117.2327526,-94,327.1,50.93,3.6142,198.03,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 26.000468841,32.76030451,-117.2327265,-82,332.7,45.36,3.6121,198.06,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 27.000482119,32.76025062,-117.2327137,-77,338.1,39.98,3.6093,198.08,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 28.000495401,32.76019784,-117.2326929,-76,337.3,40.82,3.6066,198.12,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 29.000508683,32.76015479,-117.2326712,-69,336.4,41.75,3.6045,198.15,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 30.000521964,32.76010729,-117.2326493,-66,336.9,41.28,3.6021,198.18,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 31.000535248,32.76005868,-117.2326284,-66,337.1,41.11,3.5996,198.21,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 32.000548530,32.76001201,-117.2326123,-63,339.5,38.73,3.5972,198.23,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 33.000561811,32.75996451,-117.2325909,-60,337.5,40.76,3.5948,198.26,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 34.000575096,32.75992145,-117.232574,-62,338.9,39.39,3.5927,198.29,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 35.000588379,32.75987618,-117.2325565,-67,339.2,39.12,3.5903,198.32,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 36.000601661,32.75982923,-117.2325329,-65,337.2,41.15,3.588,198.35,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 37.000614954,32.75978423,-117.2325107,-57,336.9,41.48,3.5858,198.38,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 38.000628235,32.75973256,-117.2324948,-52,340.5,37.91,3.5831,198.41,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 39.000641522,32.75968145,-117.2324757,-49,339.8,38.64,3.5805,198.44,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 40.000654810,32.75963979,-117.2324532,-45,337.3,41.17,3.5785,198.47,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 41.000668085,32.75959284,-117.2324298,-43,337.3,41.2,3.5762,198.5,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 42.000681368,32.75954034,-117.2324121,-40,340.2,38.33,3.5735,198.53,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 43.000694657,32.75949812,-117.2323893,-40,336.7,41.86,3.5714,198.56,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 44.000707937,32.75946034,-117.2323612,-39,333.3,45.29,3.5697,198.59,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 45.000721218,32.75941479,-117.2323412,-35,336.6,42.02,3.5675,198.62,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 46.000734498,32.75936701,-117.2323218,-31,337.2,41.45,3.5651,198.65,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 47.000747776,32.75932284,-117.2322996,-34,336.2,42.48,3.5629,198.68,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 48.000761051,32.75927812,-117.2322768,-37,336.3,42.42,3.5607,198.72,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 49.000774330,32.75923256,-117.2322554,-31,336.6,42.15,3.5585,198.75,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 50.000787613,32.75918229,-117.2322412,-26,341.1,37.67,3.5558,198.77,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 51.000800890,32.75912868,-117.2322259,-24,342.3,36.5,3.553,198.8,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 52.000814169,32.75908173,-117.2321979,-19,337.1,41.74,3.5508,198.84,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 53.000827447,32.75903645,-117.2321787,-19,339.8,39.07,3.5485,198.87,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 54.000840724,32.75898618,-117.2321587,-17,339.3,39.6,3.546,198.9,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 55.000853997,32.75893673,-117.2321396,-16,340.3,38.63,3.5435,198.93,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 56.000867282,32.7588859,-117.2321221,-14,341.4,37.56,3.5409,198.96,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 57.000880560,32.75883729,-117.2321037,-12,341,37.99,3.5384,198.99,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 58.000893836,32.75878729,-117.2320834,-17,341.1,37.92,3.5359,199.02,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 07 59.000907119,32.75873979,-117.2320598,-18,339,40.05,3.5336,199.05,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 00.000920403,32.75869534,-117.2320384,-15,338.9,40.18,3.5314,199.08,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 01.000933686,32.75864923,-117.2320157,-14,337.9,41.22,3.5292,199.12,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 02.000946965,32.75861229,-117.2319965,-11,337.2,41.94,3.5274,199.14,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 03.000960250,32.75857006,-117.2319812,-10,339.9,39.27,3.5253,199.17,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 04.000973531,32.75851895,-117.2319626,-11,340.5,38.7,3.5227,199.2,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 05.000986812,32.75847034,-117.2319398,-15,338.9,40.33,3.5203,199.23,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 06.000000091,32.75843006,-117.2319226,-21,339.8,39.46,3.5183,199.26,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 07.000013360,32.75838312,-117.2319134,-20,344.5,34.78,3.5158,199.28,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 08.000026646,32.75832812,-117.2318984,-20,344.3,35.01,3.5129,199.31,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 09.000039924,32.75828118,-117.2318782,-20,342.4,36.94,3.5106,199.34,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 10.000053199,32.75823534,-117.2318584,-13,342.1,37.27,3.5083,199.37,-0.35,0,,-0.067907593,0.013370556
03 06 98,09 08 11.000066473,32.75818423,-117.231849,-15,346.6,32.8,3.5056,199.4,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 12.000079755,32.75813673,-117.2318323,-17,343.9,35.53,3.5032,199.43,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 13.000093038,32.75808895,-117.2318173,-18,345.5,33.95,3.5007,199.45,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 14.000106310,32.75803534,-117.2317996,-18,344.6,34.88,3.498,199.48,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 15.000119589,32.75799201,-117.2317854,-18,344.9,34.61,3.4957,199.51,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 16.000132869,32.75794284,-117.2317704,-18,345.3,34.24,3.4932,199.54,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 17.000146146,32.75789506,-117.2317476,-22,341.9,37.67,3.4909,199.57,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 18.000159423,32.7578359,-117.2317193,-27,340.8,38.81,3.488,199.61,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 19.000172710,32.7577859,-117.2317009,-25,342.5,37.14,3.4855,199.64,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 20.000185986,32.75774256,-117.2316834,-25,341.4,38.27,3.4833,199.67,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 21.000199267,32.75770118,-117.2316493,-16,334.3,45.41,3.4816,199.71,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 22.000212544,32.75765118,-117.2316279,-13,339.1,40.65,3.4791,199.75,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 23.000225823,32.7576009,-117.2316076,-14,338.6,41.18,3.4766,199.78,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 24.000239102,32.75755673,-117.2315843,-11,338.2,41.61,3.4745,199.81,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 25.000252383,32.75750729,-117.2315665,-9,340.3,39.54,3.472,199.84,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 26.000265664,32.75745423,-117.231544,-9,339.8,40.08,3.4694,199.88,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 27.000278946,32.75740979,-117.2315143,-11,335.5,44.42,3.4674,199.92,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 28.000292229,32.75736812,-117.2315009,-16,340.7,39.24,3.4652,199.94,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 29.000305511,32.75731868,-117.2314915,-19,344.1,35.87,3.4626,199.97,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 30.000318791,32.75726784,-117.2314751,-23,343.3,36.7,3.46,200,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 31.000332076,32.75723062,-117.2314523,-26,339.3,40.73,3.4583,200.03,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 32.000345353,32.75718256,-117.2314329,-28,341.5,38.56,3.4559,200.06,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 33.000358634,32.75712729,-117.2314151,-26,342.7,37.39,3.4531,200.09,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 34.000371913,32.75707951,-117.2313987,-24,343.1,37.02,3.4507,200.12,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 35.000385191,32.75703118,-117.2313804,-24,342.7,37.45,3.4483,200.15,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 36.000398469,32.75698729,-117.2313534,-27,338.5,41.69,3.4463,200.19,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 37.000411751,32.75693868,-117.2313293,-26,339.2,41.03,3.444,200.23,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 38.000425030,32.75688729,-117.231314,-23,342.4,37.86,3.4413,200.26,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 39.000438310,32.75683312,-117.2313029,-20,345.4,34.88,3.4385,200.28,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 40.000451586,32.75677895,-117.2312879,-25,345.5,34.81,3.4357,200.31,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 41.000464867,32.75673006,-117.2312612,-24,341,39.35,3.4334,200.35,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 42.000478148,32.75667951,-117.2312476,-19,345.6,34.78,3.4308,200.38,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 43.000491424,32.75662312,-117.2312354,-23,346.6,33.81,3.4278,200.41,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 44.000504708,32.7565734,-117.2312018,-22,338.7,41.75,3.4256,200.45,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 45.000517983,32.75652312,-117.2311798,-18,342,38.49,3.4231,200.49,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 46.000531262,32.75647173,-117.2311746,-16,346.9,33.61,3.4203,200.51,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 47.000544538,32.75641395,-117.2311621,-15,347.2,33.34,3.4173,200.54,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 48.000557816,32.75636868,-117.2311376,-16,342.1,38.48,3.4152,200.58,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 49.000571093,32.75632368,-117.2311012,-3,336.4,44.22,3.4133,200.62,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 50.000584365,32.75627423,-117.2310834,1,341.6,39.05,3.4108,200.65,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 51.000597643,32.75622618,-117.2310771,0,345.2,35.48,3.4082,200.68,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 52.000610922,32.75617701,-117.2310629,-3,345.2,35.5,3.4057,200.7,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 53.000624200,32.75612701,-117.2310401,-6,342.3,38.44,3.4033,200.74,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 54.000637478,32.75607229,-117.2310184,-9,343.1,37.68,3.4006,200.78,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 55.000650748,32.75601812,-117.2310009,-7,343.8,37.01,3.3979,200.81,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 56.000664021,32.75596701,-117.2309846,-7,344.4,36.44,3.3953,200.84,-0.36,0,,-0.067907593,0.013370556
03 06 98,09 08 57.000677297,32.75591534,-117.2309626,-16,342.3,38.58,3.3928,200.88,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 08 58.000690578,32.75587034,-117.2309412,-20,341.6,39.31,3.3907,200.91,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 08 59.000703856,32.75582284,-117.2309248,-20,343.2,37.74,3.3883,200.94,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 00.000717131,32.75576729,-117.2309054,-23,343.2,37.78,3.3855,200.98,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 01.000730406,32.75571895,-117.2308854,-23,342.2,38.81,3.3832,201.01,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 02.000743682,32.7556709,-117.2308693,-21,343.8,37.24,3.3808,201.04,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 03.000756966,32.75562395,-117.2308546,-25,344.3,36.77,3.3784,201.07,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 04.000770248,32.75557284,-117.2308365,-29,344.2,36.91,3.3759,201.11,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 05.000783528,32.75553729,-117.2308221,-30,343.1,38.03,3.3741,201.13,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 06.000796804,32.75549423,-117.2308087,-31,345,36.16,3.3719,201.16,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 07.000810085,32.75544479,-117.2307882,-32,342.5,38.69,3.3695,201.19,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 08.000823361,32.75538534,-117.2307532,-32,338.7,42.54,3.3669,201.24,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 09.000836640,32.75532701,-117.2307304,-32,341.7,39.58,3.364,201.28,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 10.000849916,32.75528062,-117.2307173,-32,343.2,38.11,3.3616,201.31,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 11.000863196,32.75523118,-117.2307004,-36,342.9,38.44,3.3592,201.34,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 12.000876470,32.75518479,-117.2306812,-40,342.4,38.97,3.3569,201.37,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 13.000889747,32.75513395,-117.2306698,-40,346,35.4,3.3543,201.4,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 14.000903020,32.75508062,-117.2306548,-43,345.9,35.53,3.3516,201.43,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 15.000916297,32.75503118,-117.2306354,-45,344.4,37.07,3.3492,201.47,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 16.000929576,32.75498173,-117.2306151,-46,343.6,37.9,3.3468,201.5,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 17.000942855,32.75492812,-117.2306004,-44,345.9,35.64,3.3441,201.54,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 18.000956137,32.75487479,-117.2305873,-42,346.7,34.87,3.3413,201.57,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 19.000969417,32.75481812,-117.2305712,-45,346.7,34.9,3.3384,201.6,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 20.000982700,32.75476673,-117.2305501,-48,344.4,37.24,3.336,201.64,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 21.000995982,32.75471784,-117.2305343,-49,345.8,35.87,3.3335,201.67,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 22.000009259,32.75466868,-117.2305209,-51,346.2,35.5,3.331,201.7,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 23.000022525,32.75461923,-117.2305026,-54,344.8,36.93,3.3286,201.73,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 24.000035800,32.75456006,-117.2304851,-61,346.3,35.47,3.3256,201.77,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 25.000049081,32.75450868,-117.2304698,-63,346.1,35.7,3.323,201.8,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 26.000062355,32.75446618,-117.2304515,-63,343.8,38.03,3.321,201.83,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 27.000075629,32.75442868,-117.2304309,-66,341.5,40.36,3.3193,201.86,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 28.000088908,32.7543834,-117.2304193,-62,345.6,36.29,3.317,201.89,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 29.000102187,32.75432895,-117.2304115,-60,348.8,33.12,3.3141,201.92,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 30.000115471,32.75427173,-117.2304007,-73,349.7,32.25,3.3111,201.95,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 31.000128760,32.75423229,-117.2303859,-80,347.2,34.78,3.3092,201.98,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 32.000142037,32.75418562,-117.2303807,-76,352,30,3.3067,202,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 33.000155316,32.75412756,-117.2303701,-77,351.2,30.83,3.3036,202.03,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 34.000168596,32.75407645,-117.2303484,-84,346.7,35.37,3.3012,202.07,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 35.000181875,32.75403423,-117.2303187,-81,342.1,40.01,3.2994,202.11,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 36.000195159,32.75398423,-117.2302893,-73,341.2,40.95,3.2972,202.15,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 37.000208436,32.75393451,-117.2302787,-73,345.9,36.28,3.2946,202.18,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 38.000221719,32.75389118,-117.2302682,-77,345.9,36.31,3.2924,202.21,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 39.000235004,32.75384534,-117.2302482,-78,343.1,39.14,3.2902,202.24,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 40.000248286,32.75380423,-117.2302348,-81,345.6,36.67,3.2882,202.27,-0.37,0,,-0.067907593,0.013370556
03 06 98,09 09 41.000261565,32.75375868,-117.2302251,-83,346.9,35.39,3.2858,202.29,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 42.000274839,32.75371256,-117.2302018,-81,342.1,40.23,3.2837,202.33,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 43.000288121,32.75366673,-117.2301848,-79,344.2,38.16,3.2815,202.36,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 44.000301402,32.75361229,-117.2301729,-80,346.2,36.2,3.2787,202.4,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 45.000314681,32.75356368,-117.2301618,-80,347.4,35.02,3.2762,202.42,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 46.000327951,32.75351423,-117.2301471,-81,346.6,35.86,3.2737,202.46,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 47.000341222,32.75345812,-117.2301284,-88,345.9,36.59,3.271,202.49,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 48.000354502,32.75340812,-117.2301101,-90,344.9,37.63,3.2686,202.53,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 49.000367779,32.75335618,-117.230094,-86,345.4,37.16,3.266,202.56,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 50.000381052,32.75330062,-117.2300754,-85,345,37.6,3.2633,202.6,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 51.000394332,32.75324506,-117.2300562,-84,344.7,37.94,3.2605,202.64,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 52.000407609,32.7532009,-117.2300415,-88,345,37.67,3.2584,202.67,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 53.000420881,32.75315701,-117.2300296,-94,346.1,36.6,3.2562,202.7,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 54.000434156,32.75310756,-117.2300151,-96,346,36.73,3.2537,202.73,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 55.000447435,32.75305506,-117.2299907,-90,342.4,40.37,3.2513,202.77,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 56.000460705,32.75300729,-117.2299601,-85,338.9,43.92,3.2492,202.82,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 57.000473979,32.75295729,-117.2299368,-87,339.9,42.96,3.2469,202.86,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 58.000487258,32.75291034,-117.2299201,-86,341.3,41.59,3.2446,202.89,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 09 59.000500532,32.75285868,-117.2299046,-85,342.9,40.02,3.2421,202.92,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 10 00.000513809,32.75280673,-117.2298862,-87,342.6,40.36,3.2396,202.96,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 10 01.000527087,32.75276423,-117.2298707,-95,343,39.99,3.2375,202.99,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 10 02.000540368,32.75271229,-117.2298498,-100,342.1,40.93,3.235,203.03,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 10 03.000553641,32.75266173,-117.2298296,-99,342.1,40.97,3.2326,203.07,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 10 04.000566919,32.75261312,-117.2298298,-107,350.1,32.99,3.2299,203.09,-0.38,0,,-0.067907593,0.013370556
03 06 98,09 10 05.000580192,32.75256312,-117.2298171,-111,346.8,36.32,3.2274,203.12,-0.38,0,,-0.067907593,0.013370556
